k	label	terms	degree	leadcoef	leadmonom	trailcoef	trailmonom
539	J_12_34	2561	4	5/2	B2c_47_13*target_b*Hfact_2_5^2	113568	A3c_96_2
540	J_13_33	85	3	-30030	B2c_60_3^2*Hfact_1_1	-7174272	A3c_96_1
541	J_0_47	3703	4	-4	B2c_32_32*target_b*Hfact_0_8^2	-30	A3c_83_15
542	J_1_46	7038	4	-15	B2c_31_32*target_b*Hfact_0_7*Hfact_0_8	352	A3c_87_11
543	J_2_45	10851	4	-45/2	B2c_31_31*target_b*Hfact_0_7*Hfact_0_8	-1176	A3c_91_7
544	J_3_44	14709	4	-30	B2c_31_30*target_b*Hfact_0_7*Hfact_0_8	1344	A3c_95_3
545	J_4_43	17992	4	-75/2	B2c_31_29*target_b*Hfact_0_7*Hfact_0_8	15120	A3c_95_3
546	J_5_42	20275	4	-45	B2c_31_28*target_b*Hfact_0_7*Hfact_0_8	72576	A3c_95_3
547	J_6_41	20557	4	-105/2	B2c_31_27*target_b*Hfact_0_7*Hfact_0_8	197568	A3c_95_3
548	J_7_40	20805	4	-60	B2c_31_26*target_b*Hfact_0_7*Hfact_0_8	338688	A3c_95_3
549	J_8_39	18938	4	-135/2	B2c_47_13*target_b*Hfact_0_7*Hfact_0_8	381024	A3c_95_3
550	J_9_38	15726	4	-101/2	B2c_47_13*target_b*Hfact_0_13*Hfact_1_1	282240	A3c_95_3
551	J_10_37	11723	4	-67/2	B2c_47_13*target_b*Hfact_1_6*Hfact_1_7	133056	A3c_95_3
552	J_11_36	7493	4	-33/2	B2c_47_13*target_b*Hfact_1_8*Hfact_2_4	36288	A3c_95_3
553	J_12_35	3504	4	1/2	B2c_47_13*target_b*Hfact_2_5*Hfact_2_6	170352	A3c_95_3
554	J_13_34	353	4	-21/2	B2c_60_3*target_b*Hfact_2_4*Hfact_3_7	-30576	A3c_95_2
555	J_0_48	3691	4	-17/2	B2c_32_32*target_b*Hfact_0_8*Hfact_0_9	-32	A3c_82_16
556	J_1_47	6966	4	-8	B2c_31_32*target_b*Hfact_0_8^2	384	A3c_86_12
557	J_2_46	10912	4	-12	B2c_31_31*target_b*Hfact_0_8^2	-1344	A3c_90_8
558	J_3_45	14780	4	-16	B2c_31_30*target_b*Hfact_0_8^2	1792	A3c_94_4
559	J_4_44	17950	4	-20	B2c_31_29*target_b*Hfact_0_8^2	20160	A3c_94_4
560	J_5_43	20802	4	-24	B2c_31_28*target_b*Hfact_0_8^2	96768	A3c_94_4
561	J_6_42	22067	4	-28	B2c_31_27*target_b*Hfact_0_8^2	263424	A3c_94_4
562	J_7_41	21770	4	-32	B2c_31_26*target_b*Hfact_0_8^2	451584	A3c_94_4
563	J_8_40	20162	4	-36	B2c_47_13*target_b*Hfact_0_8^2	508032	A3c_94_4
564	J_9_39	16174	4	-55	B2c_47_13*target_b*Hfact_0_14*Hfact_1_1	376320	A3c_94_4
565	J_10_38	12994	4	-19	B2c_47_13*target_b*Hfact_1_7^2	177408	A3c_94_4
566	J_11_37	8582	4	-21	B2c_47_13*target_b*Hfact_1_9*Hfact_2_4	48384	A3c_94_4
567	J_12_36	4514	4	-2	B2c_47_13*target_b*Hfact_2_6^2	227136	A3c_94_4
568	J_13_35	940	4	13	B2c_47_13*target_b*Hfact_2_4*Hfact_3_7	26208	A3c_94_3
569	J_0_49	3674	4	-9/2	B2c_32_32*target_b*Hfact_0_9^2	-34	A3c_81_17
570	J_1_48	7036	4	-17	B2c_31_32*target_b*Hfact_0_8*Hfact_0_9	416	A3c_85_13
571	J_2_47	10778	4	-51/2	B2c_31_31*target_b*Hfact_0_8*Hfact_0_9	-1512	A3c_89_9
572	J_3_46	15020	4	-34	B2c_31_30*target_b*Hfact_0_8*Hfact_0_9	2240	A3c_93_5
573	J_4_45	18661	4	-85/2	B2c_31_29*target_b*Hfact_0_8*Hfact_0_9	-700	A3c_97_1
574	J_5_44	21257	4	-51	B2c_31_28*target_b*Hfact_0_8*Hfact_0_9	-7560	A3c_97_1
575	J_6_43	22894	4	-119/2	B2c_31_27*target_b*Hfact_0_8*Hfact_0_9	-35280	A3c_97_1
576	J_7_42	22928	4	-68	B2c_31_26*target_b*Hfact_0_8*Hfact_0_9	-94080	A3c_97_1
577	J_8_41	21132	4	-153/2	B2c_47_13*target_b*Hfact_0_8*Hfact_0_9	-158760	A3c_97_1
578	J_9_40	18279	4	-119/2	B2c_47_13*target_b*Hfact_0_15*Hfact_1_1	-176400	A3c_97_1
579	J_10_39	14263	4	-85/2	B2c_47_13*target_b*Hfact_1_7*Hfact_1_8	-129360	A3c_97_1
580	J_11_38	9700	4	-51/2	B2c_47_13*target_b*Hfact_1_10*Hfact_2_4	-60480	A3c_97_1
581	J_12_37	5563	4	-17/2	B2c_47_13*target_b*Hfact_2_6*Hfact_2_7	-16380	A3c_97_1
582	J_13_36	1734	4	17/2	B2c_47_13*target_b*Hfact_2_5*Hfact_3_7	-25480	A3c_97_1
583	J_14_35	8	2	1587222	B2c_60_3^2	-84651840	A3c_97_0
584	J_0_50	3644	4	-19/2	B2c_32_32*target_b*Hfact_0_9*Hfact_0_10	-36	A3c_80_18
585	J_1_49	6925	4	-9	B2c_31_32*target_b*Hfact_0_9^2	448	A3c_84_14
586	J_2_48	10952	4	-27/2	B2c_31_31*target_b*Hfact_0_9^2	-1680	A3c_88_10
587	J_3_47	14839	4	-18	B2c_31_30*target_b*Hfact_0_9^2	2688	A3c_92_6
588	J_4_46	18893	4	-45/2	B2c_31_29*target_b*Hfact_0_9^2	-1400	A3c_96_2
589	J_5_45	21848	4	-27	B2c_31_28*target_b*Hfact_0_9^2	-15120	A3c_96_2
590	J_6_44	23671	4	-63/2	B2c_31_27*target_b*Hfact_0_9^2	-70560	A3c_96_2
591	J_7_43	23620	4	-36	B2c_31_26*target_b*Hfact_0_9^2	-188160	A3c_96_2
592	J_8_42	22532	4	-81/2	B2c_47_13*target_b*Hfact_0_9^2	-317520	A3c_96_2
593	J_9_41	19436	4	-64	B2c_47_13*target_b*Hfact_0_16*Hfact_1_1	-352800	A3c_96_2
594	J_10_40	15560	4	-47/2	B2c_47_13*target_b*Hfact_1_8^2	-258720	A3c_96_2
595	J_11_39	10879	4	-30	B2c_47_13*target_b*Hfact_1_11*Hfact_2_4	-120960	A3c_96_2
596	J_12_38	5980	4	-13/2	B2c_47_13*target_b*Hfact_2_7^2	-32760	A3c_96_2
597	J_13_37	2534	4	4	B2c_47_13*target_b*Hfact_2_6*Hfact_3_7	-50960	A3c_96_2
598	J_14_36	85	3	33033/2	B2c_60_3^2*Hfact_1_1	14603680	A3c_96_1
599	J_0_51	3609	4	-5	B2c_32_32*target_b*Hfact_0_10^2	-38	A3c_79_19
600	J_1_50	6962	4	-19	B2c_31_32*target_b*Hfact_0_9*Hfact_0_10	480	A3c_83_15
601	J_2_49	10931	4	-57/2	B2c_31_31*target_b*Hfact_0_9*Hfact_0_10	-1848	A3c_87_11
602	J_3_48	15151	4	-38	B2c_31_30*target_b*Hfact_0_9*Hfact_0_10	3136	A3c_91_7
603	J_4_47	19076	4	-95/2	B2c_31_29*target_b*Hfact_0_9*Hfact_0_10	-2100	A3c_95_3
604	J_5_46	22369	4	-57	B2c_31_28*target_b*Hfact_0_9*Hfact_0_10	-22680	A3c_95_3
605	J_6_45	24361	4	-133/2	B2c_31_27*target_b*Hfact_0_9*Hfact_0_10	-105840	A3c_95_3
606	J_7_44	24887	4	-76	B2c_31_26*target_b*Hfact_0_9*Hfact_0_10	-282240	A3c_95_3
607	J_8_43	23661	4	-171/2	B2c_47_13*target_b*Hfact_0_9*Hfact_0_10	-476280	A3c_95_3
608	J_9_42	20795	4	-137/2	B2c_47_13*target_b*Hfact_0_17*Hfact_1_1	-529200	A3c_95_3
609	J_10_41	16838	4	-103/2	B2c_47_13*target_b*Hfact_1_8*Hfact_1_9	-388080	A3c_95_3
610	J_11_40	12360	4	-69/2	B2c_47_13*target_b*Hfact_1_12*Hfact_2_4	-181440	A3c_95_3
611	J_12_39	7821	4	-35/2	B2c_47_13*target_b*Hfact_2_7*Hfact_2_8	-49140	A3c_95_3
612	J_13_38	3653	4	-1/2	B2c_47_13*target_b*Hfact_2_7*Hfact_3_7	-76440	A3c_95_3
613	J_14_37	396	4	-9/2	B2c_60_3*target_b*Hfact_3_7^2	14560	A3c_95_2
614	J_0_52	3561	4	-21/2	B2c_32_32*target_b*Hfact_0_10*Hfact_0_11	-40	A3c_78_20
615	J_1_51	6812	4	-10	B2c_31_32*target_b*Hfact_0_10^2	512	A3c_82_16
616	J_2_50	10740	4	-15	B2c_31_31*target_b*Hfact_0_10^2	-2016	A3c_86_12
617	J_3_49	15033	4	-20	B2c_31_30*target_b*Hfact_0_10^2	3584	A3c_90_8
618	J_4_48	19182	4	-25	B2c_31_29*target_b*Hfact_0_10^2	-2800	A3c_94_4
619	J_5_47	22187	4	-30	B2c_31_28*target_b*Hfact_0_10^2	-30240	A3c_94_4
620	J_6_46	24967	4	-35	B2c_31_27*target_b*Hfact_0_10^2	-141120	A3c_94_4
621	J_7_45	25624	4	-40	B2c_31_26*target_b*Hfact_0_10^2	-376320	A3c_94_4
622	J_8_44	23926	4	-45	B2c_47_13*target_b*Hfact_0_10^2	-635040	A3c_94_4
623	J_9_43	21870	4	-73	B2c_47_13*target_b*Hfact_0_18*Hfact_1_1	-705600	A3c_94_4
624	J_10_42	18098	4	-28	B2c_47_13*target_b*Hfact_1_9^2	-517440	A3c_94_4
625	J_11_41	13223	4	-39	B2c_47_13*target_b*Hfact_1_13*Hfact_2_4	-241920	A3c_94_4
626	J_12_40	8984	4	-11	B2c_47_13*target_b*Hfact_2_8^2	-65520	A3c_94_4
627	J_13_39	4595	4	-5	B2c_47_13*target_b*Hfact_2_8*Hfact_3_7	-101920	A3c_94_4
628	J_14_38	977	4	6	B2c_47_13*target_b*Hfact_3_7^2	-10920	A3c_94_3
629	J_0_53	3508	4	-11/2	B2c_32_32*target_b*Hfact_0_11^2	-42	A3c_77_21
630	J_1_52	6816	4	-21	B2c_31_32*target_b*Hfact_0_10*Hfact_0_11	544	A3c_81_17
631	J_2_51	10791	4	-63/2	B2c_31_31*target_b*Hfact_0_10*Hfact_0_11	-2184	A3c_85_13
632	J_3_50	15102	4	-42	B2c_31_30*target_b*Hfact_0_10*Hfact_0_11	4032	A3c_89_9
633	J_4_49	18826	4	-105/2	B2c_31_29*target_b*Hfact_0_10*Hfact_0_11	-3500	A3c_93_5
634	J_5_48	22903	4	-63	B2c_31_28*target_b*Hfact_0_10*Hfact_0_11	672	A3c_97_1
635	J_6_47	25481	4	-147/2	B2c_31_27*target_b*Hfact_0_10*Hfact_0_11	7056	A3c_97_1
636	J_7_46	26562	4	-84	B2c_31_26*target_b*Hfact_0_10*Hfact_0_11	32256	A3c_97_1
637	J_8_45	25753	4	-189/2	B2c_47_13*target_b*Hfact_0_10*Hfact_0_11	84672	A3c_97_1
638	J_9_44	22717	4	-155/2	B2c_47_13*target_b*Hfact_0_19*Hfact_1_1	141120	A3c_97_1
639	J_10_43	18439	4	-121/2	B2c_47_13*target_b*Hfact_1_9*Hfact_1_10	155232	A3c_97_1
640	J_11_42	14848	4	-87/2	B2c_47_13*target_b*Hfact_1_14*Hfact_2_4	112896	A3c_97_1
641	J_12_41	10161	4	-53/2	B2c_47_13*target_b*Hfact_2_8*Hfact_2_9	52416	A3c_97_1
642	J_13_40	5719	4	-19/2	B2c_47_13*target_b*Hfact_2_9*Hfact_3_7	14112	A3c_97_1
643	J_14_39	1614	4	15/2	B2c_47_13*target_b*Hfact_3_7*Hfact_3_8	8400	A3c_97_1
644	J_15_38	8	2	-1587222	B2c_60_3^2	87473568	A3c_97_0
645	J_0_54	3442	4	-23/2	B2c_32_32*target_b*Hfact_0_11*Hfact_0_12	-44	A3c_76_22
646	J_1_53	6627	4	-11	B2c_31_32*target_b*Hfact_0_11^2	576	A3c_80_18
647	J_2_52	10672	4	-33/2	B2c_31_31*target_b*Hfact_0_11^2	-2352	A3c_84_14
648	J_3_51	14745	4	-22	B2c_31_30*target_b*Hfact_0_11^2	4480	A3c_88_10
649	J_4_50	19219	4	-55/2	B2c_31_29*target_b*Hfact_0_11^2	-4200	A3c_92_6
650	J_5_49	22894	4	-33	B2c_31_28*target_b*Hfact_0_11^2	1344	A3c_96_2
651	J_6_48	25271	4	-77/2	B2c_31_27*target_b*Hfact_0_11^2	14112	A3c_96_2
652	J_7_47	26553	4	-44	B2c_31_26*target_b*Hfact_0_11^2	64512	A3c_96_2
653	J_8_46	26710	4	-99/2	B2c_47_13*target_b*Hfact_0_11^2	169344	A3c_96_2
654	J_9_45	24140	4	-82	B2c_47_13*target_b*Hfact_0_20*Hfact_1_1	282240	A3c_96_2
655	J_10_44	20544	4	-65/2	B2c_47_13*target_b*Hfact_1_10^2	310464	A3c_96_2
656	J_11_43	15812	4	-48	B2c_47_13*target_b*Hfact_1_15*Hfact_2_4	225792	A3c_96_2
657	J_12_42	11356	4	-31/2	B2c_47_13*target_b*Hfact_2_9^2	104832	A3c_96_2
658	J_13_41	6102	4	-14	B2c_47_13*target_b*Hfact_2_10*Hfact_3_7	28224	A3c_96_2
659	J_14_40	2750	4	3/2	B2c_47_13*target_b*Hfact_3_8^2	16800	A3c_96_2
660	J_15_39	81	3	-6552	B2c_60_3^2*Hfact_1_1	-23670528	A3c_96_1
661	J_0_55	3371	4	-6	B2c_32_32*target_b*Hfact_0_12^2	-46	A3c_75_23
662	J_1_54	6598	4	-23	B2c_31_32*target_b*Hfact_0_11*Hfact_0_12	608	A3c_79_19
663	J_2_53	10405	4	-69/2	B2c_31_31*target_b*Hfact_0_11*Hfact_0_12	-2520	A3c_83_15
664	J_3_52	14873	4	-46	B2c_31_30*target_b*Hfact_0_11*Hfact_0_12	4928	A3c_87_11
665	J_4_51	19150	4	-115/2	B2c_31_29*target_b*Hfact_0_11*Hfact_0_12	-4900	A3c_91_7
666	J_5_50	22902	4	-69	B2c_31_28*target_b*Hfact_0_11*Hfact_0_12	2016	A3c_95_3
667	J_6_49	26161	4	-161/2	B2c_31_27*target_b*Hfact_0_11*Hfact_0_12	21168	A3c_95_3
668	J_7_48	27887	4	-92	B2c_31_26*target_b*Hfact_0_11*Hfact_0_12	96768	A3c_95_3
669	J_8_47	27398	4	-207/2	B2c_47_13*target_b*Hfact_0_11*Hfact_0_12	254016	A3c_95_3
670	J_9_46	25333	4	-173/2	B2c_47_13*target_b*Hfact_0_21*Hfact_1_1	423360	A3c_95_3
671	J_10_45	21710	4	-139/2	B2c_47_13*target_b*Hfact_1_10*Hfact_1_11	465696	A3c_95_3
672	J_11_44	17135	4	-105/2	B2c_47_13*target_b*Hfact_1_16*Hfact_2_4	338688	A3c_95_3
673	J_12_43	12545	4	-71/2	B2c_47_13*target_b*Hfact_2_9*Hfact_2_10	157248	A3c_95_3
674	J_13_42	7907	4	-37/2	B2c_47_13*target_b*Hfact_2_11*Hfact_3_7	42336	A3c_95_3
675	J_14_41	3638	4	-3/2	B2c_47_13*target_b*Hfact_3_8*Hfact_3_9	25200	A3c_95_3
676	J_15_40	391	4	-15/2	B2c_60_3*target_b*Hfact_3_7*Hfact_4_10	-5040	A3c_95_2
677	J_0_56	3287	4	-25/2	B2c_32_32*target_b*Hfact_0_12*Hfact_0_13	-48	A3c_74_24
678	J_1_55	6370	4	-12	B2c_31_32*target_b*Hfact_0_12^2	640	A3c_78_20
679	J_2_54	10352	4	-18	B2c_31_31*target_b*Hfact_0_12^2	-2688	A3c_82_16
680	J_3_53	14566	4	-24	B2c_31_30*target_b*Hfact_0_12^2	5376	A3c_86_12
681	J_4_52	19004	4	-30	B2c_31_29*target_b*Hfact_0_12^2	-5600	A3c_90_8
682	J_5_51	22904	4	-36	B2c_31_28*target_b*Hfact_0_12^2	2688	A3c_94_4
683	J_6_50	26304	4	-42	B2c_31_27*target_b*Hfact_0_12^2	28224	A3c_94_4
684	J_7_49	28218	4	-48	B2c_31_26*target_b*Hfact_0_12^2	129024	A3c_94_4
685	J_8_48	28344	4	-54	B2c_47_13*target_b*Hfact_0_12^2	338688	A3c_94_4
686	J_9_47	26142	4	-91	B2c_47_13*target_b*Hfact_0_22*Hfact_1_1	564480	A3c_94_4
687	J_10_46	22794	4	-37	B2c_47_13*target_b*Hfact_1_11^2	620928	A3c_94_4
688	J_11_45	18312	4	-57	B2c_47_13*target_b*Hfact_1_17*Hfact_2_4	451584	A3c_94_4
689	J_12_44	13694	4	-20	B2c_47_13*target_b*Hfact_2_10^2	209664	A3c_94_4
690	J_13_43	8884	4	-23	B2c_47_13*target_b*Hfact_2_12*Hfact_3_7	56448	A3c_94_4
691	J_14_42	4669	4	-3	B2c_47_13*target_b*Hfact_3_9^2	33600	A3c_94_4
692	J_15_41	988	4	11	B2c_47_13*target_b*Hfact_3_7*Hfact_4_10	3360	A3c_94_3
693	J_0_57	3198	4	-13/2	B2c_32_32*target_b*Hfact_0_13^2	-50	A3c_73_25
694	J_1_56	6308	4	-25	B2c_31_32*target_b*Hfact_0_12*Hfact_0_13	672	A3c_77_21
695	J_2_55	10151	4	-75/2	B2c_31_31*target_b*Hfact_0_12*Hfact_0_13	-2856	A3c_81_17
696	J_3_54	14464	4	-50	B2c_31_30*target_b*Hfact_0_12*Hfact_0_13	5824	A3c_85_13
697	J_4_53	18809	4	-125/2	B2c_31_29*target_b*Hfact_0_12*Hfact_0_13	-6300	A3c_89_9
698	J_5_52	22931	4	-75	B2c_31_28*target_b*Hfact_0_12*Hfact_0_13	3360	A3c_93_5
699	J_6_51	26364	4	-175/2	B2c_31_27*target_b*Hfact_0_12*Hfact_0_13	-392	A3c_97_1
700	J_7_50	28742	4	-100	B2c_31_26*target_b*Hfact_0_12*Hfact_0_13	-4032	A3c_97_1
701	J_8_49	29019	4	-225/2	B2c_47_13*target_b*Hfact_0_12*Hfact_0_13	-18144	A3c_97_1
702	J_9_48	27176	4	-191/2	B2c_47_13*target_b*Hfact_0_23*Hfact_1_1	-47040	A3c_97_1
703	J_10_47	23828	4	-157/2	B2c_47_13*target_b*Hfact_1_11*Hfact_1_12	-77616	A3c_97_1
704	J_11_46	19563	4	-123/2	B2c_47_13*target_b*Hfact_1_18*Hfact_2_4	-84672	A3c_97_1
705	J_12_45	14832	4	-89/2	B2c_47_13*target_b*Hfact_2_10*Hfact_2_11	-61152	A3c_97_1
706	J_13_44	10088	4	-55/2	B2c_47_13*target_b*Hfact_2_13*Hfact_3_7	-28224	A3c_97_1
707	J_14_43	5659	4	-21/2	B2c_47_13*target_b*Hfact_3_9*Hfact_3_10	-7560	A3c_97_1
708	J_15_42	1817	4	13/2	B2c_47_13*target_b*Hfact_3_8*Hfact_4_10	-1920	A3c_97_1
709	J_16_41	8	2	1322685	B2c_60_3^2	-74884320	A3c_97_0
710	J_0_58	3096	4	-27/2	B2c_32_32*target_b*Hfact_0_13*Hfact_0_14	-52	A3c_72_26
711	J_1_57	6041	4	-13	B2c_31_32*target_b*Hfact_0_13^2	704	A3c_76_22
712	J_2_56	9795	4	-39/2	B2c_31_31*target_b*Hfact_0_13^2	-3024	A3c_80_18
713	J_3_55	13936	4	-26	B2c_31_30*target_b*Hfact_0_13^2	6272	A3c_84_14
714	J_4_54	18240	4	-65/2	B2c_31_29*target_b*Hfact_0_13^2	-7000	A3c_88_10
715	J_5_53	22255	4	-39	B2c_31_28*target_b*Hfact_0_13^2	4032	A3c_92_6
716	J_6_52	26282	4	-91/2	B2c_31_27*target_b*Hfact_0_13^2	-784	A3c_96_2
717	J_7_51	28592	4	-52	B2c_31_26*target_b*Hfact_0_13^2	-8064	A3c_96_2
718	J_8_50	29363	4	-117/2	B2c_47_13*target_b*Hfact_0_13^2	-36288	A3c_96_2
719	J_9_49	27104	4	-100	B2c_47_13*target_b*Hfact_0_24*Hfact_1_1	-94080	A3c_96_2
720	J_10_48	24769	4	-83/2	B2c_47_13*target_b*Hfact_1_12^2	-155232	A3c_96_2
721	J_11_47	19702	4	-66	B2c_47_13*target_b*Hfact_1_19*Hfact_2_4	-169344	A3c_96_2
722	J_12_46	15919	4	-49/2	B2c_47_13*target_b*Hfact_2_11^2	-122304	A3c_96_2
723	J_13_45	11036	4	-32	B2c_47_13*target_b*Hfact_2_14*Hfact_3_7	-56448	A3c_96_2
724	J_14_44	5978	4	-15/2	B2c_47_13*target_b*Hfact_3_10^2	-15120	A3c_96_2
725	J_15_43	2471	4	2	B2c_47_13*target_b*Hfact_3_9*Hfact_4_10	-3840	A3c_96_2
726	J_16_42	85	3	3549/2	B2c_60_3^2*Hfact_1_1	30795024	A3c_96_1
727	J_0_59	2989	4	-7	B2c_32_32*target_b*Hfact_0_14^2	-54	A3c_71_27
728	J_1_58	5946	4	-27	B2c_31_32*target_b*Hfact_0_13*Hfact_0_14	736	A3c_75_23
729	J_2_57	9651	4	-81/2	B2c_31_31*target_b*Hfact_0_13*Hfact_0_14	-3192	A3c_79_19
730	J_3_56	13875	4	-54	B2c_31_30*target_b*Hfact_0_13*Hfact_0_14	6720	A3c_83_15
731	J_4_55	18216	4	-135/2	B2c_31_29*target_b*Hfact_0_13*Hfact_0_14	-7700	A3c_87_11
732	J_5_54	22443	4	-81	B2c_31_28*target_b*Hfact_0_13*Hfact_0_14	4704	A3c_91_7
733	J_6_53	26112	4	-189/2	B2c_31_27*target_b*Hfact_0_13*Hfact_0_14	-1176	A3c_95_3
734	J_7_52	29012	4	-108	B2c_31_26*target_b*Hfact_0_13*Hfact_0_14	-12096	A3c_95_3
735	J_8_51	29972	4	-243/2	B2c_47_13*target_b*Hfact_0_13*Hfact_0_14	-54432	A3c_95_3
736	J_9_50	28644	4	-209/2	B2c_47_13*target_b*Hfact_0_25*Hfact_1_1	-141120	A3c_95_3
737	J_10_49	25644	4	-175/2	B2c_47_13*target_b*Hfact_1_12*Hfact_1_13	-232848	A3c_95_3
738	J_11_48	21606	4	-141/2	B2c_47_13*target_b*Hfact_1_20*Hfact_2_4	-254016	A3c_95_3
739	J_12_47	16979	4	-107/2	B2c_47_13*target_b*Hfact_2_11*Hfact_2_12	-183456	A3c_95_3
740	J_13_46	12219	4	-73/2	B2c_47_13*target_b*Hfact_2_15*Hfact_3_7	-84672	A3c_95_3
741	J_14_45	7651	4	-39/2	B2c_47_13*target_b*Hfact_3_10*Hfact_3_11	-22680	A3c_95_3
742	J_15_44	3618	4	-5/2	B2c_47_13*target_b*Hfact_3_10*Hfact_4_10	-5760	A3c_95_3
743	J_16_43	386	4	-3	B2c_60_3*target_b*Hfact_4_10^2	1200	A3c_95_2
744	J_0_60	2869	4	-29/2	B2c_32_32*target_b*Hfact_0_14*Hfact_0_15	-56	A3c_70_28
745	J_1_59	5640	4	-14	B2c_31_32*target_b*Hfact_0_14^2	768	A3c_74_24
746	J_2_58	9352	4	-21	B2c_31_31*target_b*Hfact_0_14^2	-3360	A3c_78_20
747	J_3_57	13379	4	-28	B2c_31_30*target_b*Hfact_0_14^2	7168	A3c_82_16
748	J_4_56	17818	4	-35	B2c_31_29*target_b*Hfact_0_14^2	-8400	A3c_86_12
749	J_5_55	21916	4	-42	B2c_31_28*target_b*Hfact_0_14^2	5376	A3c_90_8
750	J_6_54	25823	4	-49	B2c_31_27*target_b*Hfact_0_14^2	-1568	A3c_94_4
751	J_7_53	28740	4	-56	B2c_31_26*target_b*Hfact_0_14^2	-16128	A3c_94_4
752	J_8_52	30218	4	-63	B2c_47_13*target_b*Hfact_0_14^2	-72576	A3c_94_4
753	J_9_51	29011	4	-109	B2c_47_13*target_b*Hfact_0_26*Hfact_1_1	-188160	A3c_94_4
754	J_10_50	26382	4	-46	B2c_47_13*target_b*Hfact_1_13^2	-310464	A3c_94_4
755	J_11_49	22333	4	-75	B2c_47_13*target_b*Hfact_1_21*Hfact_2_4	-338688	A3c_94_4
756	J_12_48	17944	4	-29	B2c_47_13*target_b*Hfact_2_12^2	-244608	A3c_94_4
757	J_13_47	13078	4	-41	B2c_47_13*target_b*Hfact_2_16*Hfact_3_7	-112896	A3c_94_4
758	J_14_46	8609	4	-12	B2c_47_13*target_b*Hfact_3_11^2	-30240	A3c_94_4
759	J_15_45	4255	4	-7	B2c_47_13*target_b*Hfact_3_11*Hfact_4_10	-7680	A3c_94_4
760	J_16_44	1011	4	5	B2c_47_13*target_b*Hfact_4_10^2	-720	A3c_94_3
761	J_0_61	2744	4	-15/2	B2c_32_32*target_b*Hfact_0_15^2	-58	A3c_69_29
762	J_1_60	5512	4	-29	B2c_31_32*target_b*Hfact_0_14*Hfact_0_15	800	A3c_73_25
763	J_2_59	8923	4	-87/2	B2c_31_31*target_b*Hfact_0_14*Hfact_0_15	-3528	A3c_77_21
764	J_3_58	13106	4	-58	B2c_31_30*target_b*Hfact_0_14*Hfact_0_15	7616	A3c_81_17
765	J_4_57	17371	4	-145/2	B2c_31_29*target_b*Hfact_0_14*Hfact_0_15	-9100	A3c_85_13
766	J_5_56	21445	4	-87	B2c_31_28*target_b*Hfact_0_14*Hfact_0_15	6048	A3c_89_9
767	J_6_55	24949	4	-203/2	B2c_31_27*target_b*Hfact_0_14*Hfact_0_15	-1960	A3c_93_5
768	J_7_54	28665	4	-116	B2c_31_26*target_b*Hfact_0_14*Hfact_0_15	128	A3c_97_1
769	J_8_53	29569	4	-261/2	B2c_47_13*target_b*Hfact_0_14*Hfact_0_15	1296	A3c_97_1
770	J_9_52	29570	4	-227/2	B2c_47_13*target_b*Hfact_0_27*Hfact_1_1	5760	A3c_97_1
771	J_10_51	26999	4	-193/2	B2c_47_13*target_b*Hfact_1_13*Hfact_1_14	14784	A3c_97_1
772	J_11_50	23088	4	-159/2	B2c_47_13*target_b*Hfact_1_22*Hfact_2_4	24192	A3c_97_1
773	J_12_49	18827	4	-125/2	B2c_47_13*target_b*Hfact_2_12*Hfact_2_13	26208	A3c_97_1
774	J_13_48	13780	4	-91/2	B2c_47_13*target_b*Hfact_2_17*Hfact_3_7	18816	A3c_97_1
775	J_14_47	9416	4	-57/2	B2c_47_13*target_b*Hfact_3_11*Hfact_3_12	8640	A3c_97_1
776	J_15_46	5356	4	-23/2	B2c_47_13*target_b*Hfact_3_12*Hfact_4_10	2304	A3c_97_1
777	J_16_45	1770	4	11/2	B2c_47_13*target_b*Hfact_4_10*Hfact_4_11	272	A3c_97_1
778	J_17_44	8	2	-915705	B2c_60_3^2	53023680	A3c_97_0
779	J_0_62	2606	4	-31/2	B2c_32_32*target_b*Hfact_0_15*Hfact_0_16	-60	A3c_68_30
780	J_1_61	5203	4	-15	B2c_31_32*target_b*Hfact_0_15^2	832	A3c_72_26
781	J_2_60	8672	4	-45/2	B2c_31_31*target_b*Hfact_0_15^2	-3696	A3c_76_22
782	J_3_59	12455	4	-30	B2c_31_30*target_b*Hfact_0_15^2	8064	A3c_80_18
783	J_4_58	16847	4	-75/2	B2c_31_29*target_b*Hfact_0_15^2	-9800	A3c_84_14
784	J_5_57	20974	4	-45	B2c_31_28*target_b*Hfact_0_15^2	6720	A3c_88_10
785	J_6_56	24932	4	-105/2	B2c_31_27*target_b*Hfact_0_15^2	-2352	A3c_92_6
786	J_7_55	27675	4	-60	B2c_31_26*target_b*Hfact_0_15^2	256	A3c_96_2
787	J_8_54	30203	4	-135/2	B2c_47_13*target_b*Hfact_0_15^2	2592	A3c_96_2
788	J_9_53	29709	4	-118	B2c_47_13*target_b*Hfact_0_28*Hfact_1_1	11520	A3c_96_2
789	J_10_52	27498	4	-101/2	B2c_47_13*target_b*Hfact_1_14^2	29568	A3c_96_2
790	J_11_51	23684	4	-84	B2c_47_13*target_b*Hfact_1_23*Hfact_2_4	48384	A3c_96_2
791	J_12_50	19634	4	-67/2	B2c_47_13*target_b*Hfact_2_13^2	52416	A3c_96_2
