CONDITIONAL on EXACT-N	D	m	M_tuple	V_s	u	e	branch_type_count	distinct_weight_count	distinct_weights
CONDITIONAL on EXACT-N	120	90	75,85,118	4	24	4	156	156	4/9,22/45,1/2,50/99,32/63,26/51,23/45,106/207,20/39,134/261,37/72,18/35,64/39,352/195,24/13,800/429,512/273,32/17,368/195,1696/897,320/169,2144/1131,74/39,864/455,77/25,63/20,35/11,16/5,273/85,161/50,371/115,42/13,469/145,259/80,81/25,352/81,40/9,4000/891,2560/567,2080/459,368/81,8480/1863,1600/351,10720/2349,370/81,32/7,195/34,3250/561,2080/357,1690/289,299/51,6890/1173,100/17,8710/1479,2405/408,702/119,288/41,3200/451,2048/287,4992/697,1472/205,6784/943,3840/533,8576/1189,296/41,10368/1435,3325/396,76/9,1729/204,3059/360,7049/828,665/78,8911/1044,4921/576,171/20,320/33,1024/105,832/85,736/75,3392/345,128/13,4288/435,148/15,1728/175,2400/217,5850/527,345/31,7950/713,4500/403,10050/899,2775/248,2430/217,2560/207,14560/1173,112/9,59360/4761,11200/897,75040/6003,2590/207,288/23,4433/323,7843/570,18073/1311,3410/247,22847/1653,12617/912,9207/665,1248/83,6256/415,28832/1909,16320/1079,36448/2407,1258/83,44064/2905,11063/675,50986/3105,148/9,64454/3915,17797/1080,2886/175,5152/291,118720/6693,22400/1261,150080/8439,5180/291,1728/97,11395/598,3225/169,14405/754,7955/416,3483/182,6784/333,29440/1443,197248/9657,184/9,26496/1295,16660/767,111622/5133,30821/1416,6426/295,576/25,83616/3625,2886/125,101088/4375,6365/261,3515/144,171/7,10720/417,10730/417,25056/973,15799/584,9882/365,13024/459,16896/595,41607/1400,5184/167
CONDITIONAL on EXACT-N	120	90	75,95,118	3	18	4	90	90	1/7,1/5,3/14,17/77,11/49,27/119,8/35,37/161,3/13,48/91,48/65,72/91,816/1001,528/637,1296/1547,384/455,1776/2093,144/169,63/50,27/20,153/110,99/70,243/170,36/25,333/230,189/130,16/9,40/21,1360/693,880/441,240/119,128/63,2960/1449,80/39,585/238,195/77,2145/833,5265/2023,312/119,7215/2737,45/17,864/287,9792/3157,6336/2009,15552/4879,4608/1435,21312/6601,1728/533,323/88,209/56,513/136,19/5,703/184,399/104,1632/385,1056/245,2592/595,768/175,3552/805,288/65,7425/1519,18225/3689,1080/217,24975/4991,2025/403,880/161,2160/391,128/23,2960/529,1680/299,27621/4522,4092/665,37851/6118,3069/494,3888/581,19584/2905,90576/13363,7344/1079,3848/525,17797/2415,37/5,768/97,17760/2231,10080/1261,71595/8372,5805/676,64/7,4416/481,7497/767,1296/125
CONDITIONAL on EXACT-N	120	90	75,95,118	4	24	4	156	156	6/19,42/95,9/19,102/209,66/133,162/323,48/95,222/437,126/247,282/551,39/76,18/35,288/247,2016/1235,432/247,4896/2717,3168/1729,7776/4199,2304/1235,10656/5681,6048/3211,13536/7163,36/19,864/455,1323/475,567/190,3213/1045,297/95,5103/1615,1512/475,6993/2185,3969/1235,8883/2755,2457/760,81/25,224/57,80/19,2720/627,1760/399,1440/323,256/57,5920/1311,1120/247,7520/1653,260/57,32/7,1755/323,1170/209,12870/2261,31590/5491,1872/323,43290/7429,1890/323,54990/9367,7605/1292,702/119,5184/779,58752/8569,38016/5453,93312/13243,27648/3895,127872/17917,72576/10127,162432/22591,5616/779,10368/1435,357/44,33/4,567/68,42/5,777/92,441/52,987/116,273/32,171/20,9792/1045,6336/665,15552/1615,4608/475,21312/2185,12096/1235,27072/2755,936/95,1728/175,44550/4123,109350/10013,6480/589,149850/13547,85050/7657,190350/17081,26325/2356,2430/217,5280/437,90720/7429,5376/437,124320/10051,70560/5681,157920/12673,5460/437,288/23,82863/6137,24552/1805,113553/8303,64449/4693,144243/10469,39897/2888,9207/665,23328/1577,117504/7885,543456/36271,308448/20501,690336/45733,23868/1577,44064/2905,7696/475,35594/2185,1554/95,45214/2755,6253/380,2886/175,32256/1843,745920/42389,423360/23959,947520/53447,32760/1843,1728/97,214785/11362,121905/6422,272835/14326,5805/304,3483/182,384/19,185472/9139,415104/20387,14352/703,26496/1295,314874/14573,704718/32509,97461/4484,6426/295,54432/2375,1583712/68875,54756/2375,101088/4375,705/29,195/8,171/7,67680/2641,67860/2641,25056/973,149877/5548,9882/365,9152/323,16896/595,41607/1400,5184/167
CONDITIONAL on EXACT-N	120	90	75,100,118	3	18	4	90	90	1/11,2/11,9/44,26/121,17/77,42/187,5/22,58/253,3/13,48/143,96/143,108/143,96/121,816/1001,2016/2431,120/143,2784/3289,144/169,63/55,567/440,819/605,153/110,1323/935,63/44,1827/1265,189/130,160/99,20/11,2080/1089,1360/693,1120/561,200/99,4640/2277,80/39,1755/748,5070/2057,195/77,8190/3179,975/374,11310/4301,45/17,1296/451,14976/4961,9792/3157,24192/7667,1440/451,33408/10373,1728/533,1729/484,323/88,2793/748,665/176,3857/1012,399/104,2496/605,1632/385,4032/935,48/11,5568/1265,288/65,11475/2387,28350/5797,3375/682,39150/7843,2025/403,1360/253,23520/4301,1400/253,32480/5819,1680/299,1953/323,465/76,2697/437,3069/494,6048/913,6120/913,141984/20999,7344/1079,481/66,27898/3795,37/5,8400/1067,194880/24541,10080/1261,56115/6578,5805/676,3712/407,4416/481,7497/767,1296/125
CONDITIONAL on EXACT-N	120	90	75,100,118	4	24	4	156	156	1/5,2/5,9/20,26/55,17/35,42/85,1/2,58/115,33/65,74/145,41/80,18/35,48/65,96/65,108/65,96/55,816/455,2016/1105,24/13,2784/1495,1584/845,3552/1885,123/65,864/455,63/25,567/200,819/275,153/50,1323/425,63/20,1827/575,2079/650,2331/725,2583/800,81/25,32/9,4,416/99,272/63,224/51,40/9,928/207,176/39,1184/261,41/9,32/7,351/68,1014/187,39/7,1638/289,195/34,2262/391,99/17,2886/493,1599/272,702/119,1296/205,14976/2255,9792/1435,24192/3485,288/41,33408/4715,19008/2665,42624/5945,36/5,10368/1435,1729/220,323/40,2793/340,133/16,3857/460,4389/520,4921/580,5453/640,171/20,2496/275,1632/175,4032/425,48/5,5568/575,3168/325,7104/725,246/25,1728/175,2295/217,5670/527,675/62,7830/713,4455/403,9990/899,5535/496,2430/217,272/23,4704/391,280/23,6496/529,3696/299,8288/667,287/23,288/23,21483/1615,1023/76,29667/2185,33759/2470,37851/2755,41943/3040,9207/665,6048/415,1224/83,141984/9545,80784/5395,181152/12035,6273/415,44064/2905,481/30,27898/1725,407/25,35594/2175,19721/1200,2886/175,1680/97,38976/2231,22176/1261,49728/2813,1722/97,1728/97,11223/598,12771/676,14319/754,15867/832,3483/182,3712/185,48576/2405,2944/145,3772/185,26496/1295,82467/3835,184926/8555,102459/4720,6426/295,14256/625,415584/18125,14391/625,101088/4375,703/29,779/32,171/7,3552/139,3567/139,25056/973,157563/5840,9882/365,7216/255,16896/595,41607/1400,5184/167
CONDITIONAL on EXACT-N	120	90	75,110,118	3	18	4	88	88	2/25,3/20,2/11,1/5,18/85,11/50,26/115,3/13,96/325,63/125,36/65,96/143,32/45,48/65,864/1105,264/325,96/115,144/169,189/200,63/55,63/50,4/3,567/425,693/500,819/575,189/130,160/99,117/68,16/9,32/17,88/45,416/207,80/39,390/187,432/205,39/17,702/289,429/170,1152/451,1014/391,45/17,576/205,10368/3485,133/44,3168/1025,14976/4715,1728/533,133/40,192/55,1197/340,1463/400,1729/460,399/104,96/25,1728/425,528/125,2496/575,135/31,288/65,2430/527,297/62,112/23,3510/713,2025/403,2016/391,616/115,2912/529,1680/299,9207/1615,11253/1900,13299/2185,3069/494,2592/415,13464/2075,63648/9545,7344/1079,5291/750,12506/1725,37/5,3696/485,17472/2231,10080/1261,387/46,5805/676,1664/185,4416/481,7497/767,1296/125
CONDITIONAL on EXACT-N	120	90	75,110,118	4	24	4	154	154	6/35,9/28,30/77,3/7,54/119,33/70,78/161,45/91,102/203,57/112,18/35,288/455,27/25,108/91,1440/1001,32/21,144/91,2592/1547,792/455,288/161,2160/1183,4896/2639,171/91,864/455,81/40,27/11,27/10,20/7,243/85,297/100,351/115,81/26,459/145,513/160,81/25,800/231,1755/476,80/21,480/119,88/21,2080/483,400/91,2720/609,5850/1309,1296/287,95/21,32/7,585/119,10530/2023,1287/238,17280/3157,15210/2737,675/119,1170/203,11115/1904,702/119,1728/287,31104/4879,285/44,9504/1435,44928/6601,25920/3731,58752/8323,57/8,2052/287,10368/1435,576/77,513/68,627/80,741/92,855/104,288/35,969/116,1083/128,171/20,5184/595,1584/175,7488/805,2025/217,864/91,9792/1015,342/35,1728/175,36450/3689,4455/434,240/23,52650/4991,30375/2821,68850/6293,4320/391,38475/3472,2430/217,264/23,6240/529,3600/299,27621/2261,8160/667,285/23,288/23,33759/2660,39897/3059,46035/3458,7776/581,52173/3857,3069/224,9207/665,40392/2905,190944/13363,110160/7553,249696/16849,8721/581,5291/350,44064/2905,12506/805,111/7,16354/1015,9139/560,1584/97,2886/175,37440/2231,21600/1261,48960/2813,1710/97,1728/97,5805/322,87075/4732,98685/5278,110295/5824,3483/182,4992/259,66240/3367,150144/7511,5244/259,26496/1295,16065/767,36414/1711,20349/944,6426/295,3888/175,572832/25375,20007/875,101088/4375,4845/203,5415/224,171/7,24480/973,24795/973,25056/973,31293/1168,9882/365,3344/119,16896/595,41607/1400,5184/167
CONDITIONAL on EXACT-N	120	90	75,115,118	3	18	4	78	78	1/11,1/7,3/17,1/5,5/23,3/13,48/143,48/91,63/110,144/221,48/65,240/299,80/99,144/169,9/10,195/187,189/170,63/50,80/63,576/451,63/46,189/130,133/88,80/51,195/119,96/55,16/9,400/207,576/287,585/289,80/39,39/17,19/8,1728/697,975/391,45/17,96/35,576/205,399/136,2880/943,675/217,1728/533,133/40,288/85,80/23,665/184,399/104,96/25,2025/527,96/23,1680/391,135/31,288/65,3375/713,3069/646,112/23,2025/403,432/83,2800/529,1023/190,1680/299,5115/874,2448/415,3069/494,12240/1909,481/75,7344/1079,672/97,481/69,37/5,16800/2231,10080/1261,9675/1196,5805/676,320/37,4416/481,7497/767,1296/125
CONDITIONAL on EXACT-N	120	90	75,115,118	4	24	4	144	144	2/11,2/7,6/17,2/5,10/23,6/13,14/29,1/2,18/35,96/143,96/91,63/55,288/221,96/65,480/299,160/99,288/169,672/377,9/5,24/13,864/455,390/187,189/85,63/25,160/63,1152/451,63/23,189/65,133/44,441/145,160/51,63/20,81/25,390/119,192/55,32/9,800/207,1152/287,1170/289,160/39,1120/261,40/9,32/7,78/17,19/4,3456/697,1950/391,90/17,192/35,2730/493,1152/205,195/34,399/68,702/119,5760/943,1350/217,3456/533,133/20,576/85,8064/1189,160/23,288/41,10368/1435,665/92,399/52,192/25,4050/527,931/116,133/16,192/23,171/20,3360/391,270/31,576/65,1344/145,6750/713,3069/323,48/5,224/23,1728/175,4050/403,864/83,9450/899,5600/529,1023/95,675/62,2430/217,3360/299,5115/437,7840/667,4896/415,280/23,3069/247,288/23,24480/1909,962/75,7161/551,1023/76,14688/1079,9207/665,1344/97,962/69,34272/2407,1224/83,74/5,33600/2231,44064/2905,6734/435,20160/1261,481/30,9675/598,2886/175,47040/2813,5805/338,640/37,1680/97,1728/97,13545/754,8832/481,1935/104,3483/182,20608/1073,14994/767,736/37,34986/1711,26496/1295,2592/125,2499/118,78624/3625,6426/295,2808/125,665/29,101088/4375,95/4,3360/139,171/7,3480/139,25056/973,3843/146,9882/365,1408/51,16896/595,41607/1400,5184/167
CONDITIONAL on EXACT-N	120	90	105,110,118	3	18	4	72	72	9/25,27/50,3/5,63/100,81/125,33/50,117/175,27/40,32/45,16/15,32/27,56/45,32/25,176/135,416/315,4/3,27/17,30/17,63/34,162/85,33/17,234/119,135/68,432/205,96/41,504/205,2592/1025,528/205,3744/1435,108/41,35/12,49/16,63/20,77/24,13/4,105/32,192/55,1008/275,5184/1375,96/25,7488/1925,216/55,1323/310,3402/775,693/155,702/155,567/124,112/23,576/115,352/69,832/161,120/23,2673/475,1089/190,3861/665,891/152,2592/415,528/83,3744/581,540/83,1573/225,3718/525,143/20,3696/485,3744/485,756/97,117/14,135/16,1664/185,336/37,2295/236,1296/125
CONDITIONAL on EXACT-N	120	90	105,110,118	4	24	4	132	132	27/35,81/70,9/7,27/20,243/175,99/70,351/245,81/56,51/35,513/350,81/55,32/21,16/7,160/63,8/3,96/35,176/63,416/147,20/7,544/189,304/105,32/11,405/119,450/119,135/34,486/119,495/119,3510/833,2025/476,30/7,513/119,810/187,1296/287,1440/287,216/41,7776/1435,1584/287,11232/2009,1620/287,1632/287,8208/1435,2592/451,25/4,105/16,27/4,55/8,195/28,225/32,85/12,57/8,315/44,576/77,432/55,15552/1925,288/35,22464/2695,648/77,3264/385,16416/1925,5184/605,567/62,1458/155,297/31,2106/217,1215/124,306/31,1539/155,3402/341,240/23,1728/161,1760/161,12480/1127,1800/161,5440/483,1824/161,2880/253,8019/665,3267/266,11583/931,13365/1064,1683/133,891/70,243/19,7776/581,7920/581,56160/4067,8100/581,8160/581,8208/581,12960/913,1573/105,3718/245,429/28,4862/315,2717/175,78/5,1584/97,11232/679,1620/97,1632/97,8208/485,18144/1067,1755/98,2025/112,255/14,513/28,405/22,4992/259,720/37,2176/111,3648/185,8064/407,34425/1652,8670/413,8721/413,13770/649,3888/175,19584/875,98496/4375,31104/1375,5491/231,18411/770,2907/121,24480/973,24624/973,38880/1529,9747/365,21546/803,3344/119,480/17,13041/440,5184/167
CONDITIONAL on EXACT-N	120	90	105,115,118	3	18	4	66	66	3/10,9/20,27/50,16/27,3/5,9/14,27/40,15/17,8/9,16/15,48/41,32/27,80/63,45/34,4/3,35/24,27/17,96/55,72/41,30/17,225/119,135/68,432/205,35/16,96/41,720/287,144/55,21/8,108/41,35/12,189/62,25/8,864/275,105/32,80/23,192/55,567/155,288/77,216/55,126/31,96/23,135/31,567/124,320/69,891/190,800/161,432/83,99/19,120/23,1485/266,480/83,891/152,3600/581,286/45,540/83,143/21,672/97,143/20,720/97,756/97,225/28,135/16,320/37,336/37,2295/236,1296/125
CONDITIONAL on EXACT-N	120	90	105,115,118	4	24	4	126	126	3/5,9/10,27/25,32/27,6/5,9/7,27/20,7/5,36/25,81/55,30/17,16/9,32/15,96/41,64/27,160/63,45/17,8/3,224/81,128/45,32/11,35/12,54/17,192/55,144/41,60/17,450/119,135/34,70/17,864/205,72/17,810/187,35/8,192/41,1440/287,288/55,21/4,216/41,224/41,1152/205,2592/451,35/6,189/31,25/4,1728/275,105/16,245/36,160/23,384/55,7,315/44,1134/155,576/77,432/55,252/31,448/55,192/23,2304/275,5184/605,270/31,567/62,640/69,891/95,294/31,1512/155,1600/161,3402/341,864/83,198/19,240/23,2240/207,256/23,1485/133,2880/253,960/83,891/76,231/19,7200/581,1188/95,572/45,243/19,1080/83,1120/83,286/21,1344/97,1152/83,12960/913,143/10,2002/135,1440/97,1144/75,1512/97,78/5,225/14,1568/97,8064/485,135/8,18144/1067,640/37,35/2,18,672/37,405/22,6272/333,3584/185,2295/118,8064/407,1190/59,2592/125,1224/59,13770/649,2688/125,13824/625,31104/1375,2261/99,1292/55,2907/121,3360/139,3456/139,38880/1529,9576/365,21546/803,1408/51,480/17,13041/440,5184/167
CONDITIONAL on EXACT-N	120	80	-76,118	3	30	3	30	30	117/146,352/219,1233/511,4464/1387,1175/292,10224/2117,6993/1241,6112/949,11637/1606,28800/3577,5819/657,41616/4307,24453/2336,18928/1679,32625/2701,74304/5767,13991/1022,94176/6497,52497/3431,38800/2409,64197/3796,140976/7957,25691/1387,167904/8687,91125/4526,65728/3139,106353/4891,228816/10147,40919/1752,3600/149
CONDITIONAL on EXACT-N	120	80	-68,118	3	30	3	30	30	111/140,8/5,1179/490,2136/665,225/56,4896/1015,957/170,2928/455,1593/220,2760/343,1859/210,19944/2065,23439/2240,1296/115,6255/518,5088/395,13413/980,45144/3115,50331/3290,1240/77,8793/520,67584/3815,3519/190,80496/4165,17475/868,31512/1505,101979/4690,15672/695,13079/560,3600/149
CONDITIONAL on EXACT-N	120	80	-52,118	3	30	3	30	30	99/128,19/12,153/64,243/76,1025/256,279/58,6111/1088,167/26,10179/1408,225/28,5093/576,2277/236,21411/2048,259/23,28575/2368,1017/79,1751/128,5157/356,45999/3008,2125/132,56259/3328,3861/218,22517/1216,657/34,79875/3968,3601/172,93231/4288,12537/556,35873/1536,3600/149
CONDITIONAL on EXACT-N	120	80	-44,118	3	30	3	30	30	93/122,96/61,1017/427,3696/1159,975/244,8496/1769,5817/1037,5088/793,9693/1342,24000/2989,539/61,34704/3599,20397/1952,15792/1403,27225/2257,62016/4819,11679/854,78624/5429,43833/2867,10800/671,53613/3172,117744/6649,21459/1159,140256/7259,76125/3782,54912/2623,88857/4087,191184/8479,11397/488,3600/149
CONDITIONAL on EXACT-N	120	80	-36,118	3	30	3	30	30	3/4,136/87,963/406,1752/551,925/232,4032/841,5523/986,2416/377,837/116,11400/1421,4609/522,16488/1711,19383/1856,7504/667,25875/2146,29472/2291,11101/812,37368/2581,41667/2726,1400/87,50967/3016,55968/3161,20401/1102,66672/3451,72375/3596,26104/1247,84483/3886,90888/4031,1121/48,3600/149
CONDITIONAL on EXACT-N	120	80	-28,118	3	30	3	30	30	81/110,256/165,909/385,3312/1045,175/44,7632/1595,5229/935,32/5,8721/1210,4320/539,397/45,31248/3245,18369/1760,14224/1265,4905/407,55872/4345,10523/770,70848/4895,3591/235,5840/363,3717/220,9648/545,19343/1045,126432/6545,13725/682,49504/2365,80109/3685,172368/7645,30827/1320,3600/149
CONDITIONAL on EXACT-N	120	80	-12,118	3	30	3	30	30	69/98,32/21,801/343,2928/931,775/196,6768/1421,39/7,4064/637,1107/154,19200/2401,3883/441,27792/2891,16341/1568,1808/161,21825/1813,7104/553,9367/686,63072/4361,35169/2303,26000/1617,6147/364,94512/5341,2461/133,6624/343,61125/3038,44096/2107,71361/3283,21936/973,27463/1176,3600/149
CONDITIONAL on EXACT-N	120	80	-4,118	3	30	3	30	30	63/92,104/69,747/322,72/23,725/184,3168/667,189/34,1904/299,7263/1012,9000/1127,3641/414,13032/1357,15327/1472,5936/529,20475/1702,23328/1817,8789/644,29592/2047,33003/2162,12200/759,40383/2392,44352/2507,37/2,52848/2737,57375/2852,20696/989,66987/3082,72072/3197,25781/1104,3600/149
CONDITIONAL on EXACT-N	120	80	4,118	3	30	3	30	30	57/86,64/43,99/43,2544/817,675/172,5904/1247,4053/731,3552/559,6777/946,2400/301,1133/129,24336/2537,14313/1376,11088/989,19125/1591,43584/3397,1173/86,55296/3827,30837/2021,7600/473,37737/2236,82896/4687,15111/817,14112/731,53625/2666,38688/1849,62613/2881,134736/5977,8033/344,3600/149
CONDITIONAL on EXACT-N	120	80	12,118	3	30	3	30	30	51/80,22/15,639/280,294/95,125/32,684/145,3759/680,412/65,6291/880,390/49,3157/360,2826/295,13299/1280,56/5,3555/296,5064/395,7633/560,6426/445,28671/1880,530/33,35091/2080,9636/545,14053/760,11484/595,9975/496,4498/215,58239/2680,15666/695,22417/960,3600/149
CONDITIONAL on EXACT-N	120	80	28,118	3	30	3	30	30	39/68,24/17,531/238,984/323,525/136,2304/493,3171/578,1392/221,5319/748,6600/833,297/34,9576/1003,663/64,4368/391,15075/1258,17184/1343,381/28,21816/1513,24339/1598,3000/187,29799/1768,32736/1853,11937/646,39024/2023,42375/2108,15288/731,49491/2278,53256/2363,6351/272,3600/149
CONDITIONAL on EXACT-N	120	80	36,118	3	30	3	30	30	33/62,128/93,477/217,1776/589,475/124,144/31,2877/527,2528/403,4833/682,12000/1519,2431/279,17424/1829,10257/992,7952/713,13725/1147,31296/2449,5899/434,39744/2759,22173/1457,16400/1023,27153/1612,59664/3379,10879/589,71136/3689,38625/1922,27872/1333,45117/2077,97104/4309,17371/744,3600/149
CONDITIONAL on EXACT-N	120	80	44,118	3	30	3	30	30	27/56,4/3,423/196,396/133,425/112,936/203,369/68,568/91,621/88,2700/343,2189/252,3924/413,9243/896,256/23,12375/1036,1008/79,5321/392,8964/623,20007/1316,3700/231,3501/208,13464/763,1403/76,16056/833,1125/56,6292/301,40743/1876,3132/139,15689/672,3600/149
CONDITIONAL on EXACT-N	120	80	52,118	3	30	3	30	30	21/50,32/25,369/175,1392/475,15/4,3312/725,2289/425,2016/325,351/50,384/49,649/75,13968/1475,8229/800,6384/575,441/37,25152/1975,4743/350,31968/2225,17841/1175,16,21861/1300,48048/2725,8763/475,57312/2975,1245/62,22464/1075,36369/1675,78288/3475,4669/200,3600/149
CONDITIONAL on EXACT-N	120	80	68,118	3	30	3	30	30	9/38,64/57,261/133,1008/361,275/76,2448/551,1701/323,1504/247,2889/418,7200/931,77/9,10512/1121,6201/608,4816/437,225/19,19008/1501,3587/266,24192/1691,711/47,10000/627,16569/988,36432/2071,6647/361,43488/2261,23625/1178,17056/817,27621/1273,59472/2641,10643/456,3600/149
CONDITIONAL on EXACT-N	120	80	76,118	3	30	3	30	30	3/32,1,207/112,51/19,225/64,126/29,1407/272,6,2403/352,375/49,407/48,549/59,5187/512,252/23,6975/592,996/79,3009/224,1269/89,11343/752,175/11,1071/64,1914/109,5589/304,2286/119,19875/992,897/43,23247/1072,3129/139,2987/128,3600/149
CONDITIONAL on EXACT-N	120	80	84,118	3	30	3	29	29	32/39,153/91,48/19,175/52,1584/377,1113/221,992/169,1917/286,4800/637,979/117,7056/767,321/32,3248/299,5625/481,12864/1027,187/14,16416/1157,9177/611,6800/429,11277/676,24816/1417,4531/247,29664/1547,16125/806,896/43,18873/871,40656/1807,7279/312,3600/149
CONDITIONAL on EXACT-N	120	80	92,118	3	30	3	29	29	8/15,99/70,216/95,25/8,576/145,819/170,368/65,1431/220,360/49,737/90,2664/295,3159/320,1232/115,855/74,4896/395,1853/140,6264/445,7011/470,520/33,8631/520,9504/545,3473/190,11376/595,2475/124,104/5,14499/670,15624/695,5597/240,3600/149
CONDITIONAL on EXACT-N	120	80	108,118	3	30	3	27	27	12/19,25/16,72/29,231/68,56/13,459/88,300/49,253/36,468/59,1131/128,224/23,1575/148,912/79,697/56,1188/89,57/4,500/33,3339/208,1848/109,1357/76,2232/119,4875/248,884/43,5751/268,3108/139,2233/96,3600/149
CONDITIONAL on EXACT-N	120	80	116,118	3	30	3	20	20	11/9,144/59,117/32,112/23,225/37,576/79,17/2,864/89,513/47,400/33,693/52,1584/109,299/19,288/17,1125/62,832/43,1377/67,3024/139,551/24,3600/149
CONDITIONAL on EXACT-N	120	80	-75,118	3	24	3	24	24	93/232,70/87,981/812,888/551,935/464,2034/841,5565/1972,1216/377,9261/2552,5730/1421,4631/1044,8280/1711,19461/3712,3766/667,25965/4292,14784/2291,11135/1624,18738/2581,41781/5452,7720/957,51093/6032,28050/3161,20447/2204,1152/119
CONDITIONAL on EXACT-N	120	80	-75,118	4	32	3	32	32	9/10,56/31,2943/1085,10656/2945,561/124,24408/4495,3339/527,14592/2015,27783/3410,13752/1519,4631/465,19872/1829,58383/4960,45192/3565,15579/1147,177408/12245,6681/434,224856/13795,125343/7285,6176/341,153279/8060,67320/3379,61341/2945,400896/18445,43515/1922,156936/6665,50787/2077,546336/21545,32567/1240,125496/4619,10809/385,1536/53
CONDITIONAL on EXACT-N	120	80	-65,118	3	24	3	24	24	87/220,4/5,927/770,336/209,177/88,3852/1595,5271/1870,2304/715,1755/484,2172/539,133/30,15696/3245,1677/320,1428/253,4923/814,28032/4345,10557/1540,35532/4895,7923/1034,976/121,48447/5720,4836/545,19389/2090,1152/119
CONDITIONAL on EXACT-N	120	80	-65,118	4	32	3	32	32	87/98,88/49,927/343,480/133,885/196,7704/1421,753/119,4608/637,8775/1078,21720/2401,209/21,31392/2891,18447/1568,2040/161,24615/1813,56064/3871,10557/686,10152/623,39615/2303,9760/539,6921/364,106392/5341,19389/931,126720/5831,9825/434,49608/2107,80271/3283,24672/973,10295/392,198360/7301,105927/3773,1536/53
CONDITIONAL on EXACT-N	120	80	-55,118	3	24	3	24	24	81/208,31/39,873/728,396/247,835/416,909/377,4977/1768,544/169,8289/2288,2565/637,319/72,3708/767,1341/256,1687/299,23265/3848,6624/1027,9979/1456,8397/1157,37449/4888,3460/429,45801/5408,12573/1417,18331/1976,1152/119
CONDITIONAL on EXACT-N	120	80	-55,118	4	32	3	32	32	243/278,248/139,2619/973,9504/2641,2505/556,21816/4031,14931/2363,13056/1807,24867/3058,61560/6811,4147/417,88992/8201,52299/4448,40488/3197,69795/5143,158976/10981,29937/1946,201528/12371,112347/6533,27680/1529,137403/7228,301752/15151,54993/2641,359424/16541,195075/8618,140712/5977,227691/9313,489888/19321,29203/1112,562680/20711,300483/10703,1536/53
CONDITIONAL on EXACT-N	120	80	-45,118	3	24	3	24	24	75/196,116/147,117/98,1488/931,785/392,3420/1421,669/238,2048/637,7803/2156,1380/343,3905/882,13968/2891,16419/3136,908/161,21915/3626,24960/3871,1343/196,31644/4361,35283/4606,13040/1617,6165/728,47388/5341,17273/1862,1152/119
CONDITIONAL on EXACT-N	120	80	-45,118	4	32	3	32	32	225/262,232/131,351/131,8928/2489,2355/524,20520/3799,14049/2227,12288/1703,23409/2882,8280/917,3905/393,83808/7729,49257/4192,38136/3013,65745/4847,149760/10349,4029/262,189864/11659,105849/6157,26080/1441,129465/6812,284328/14279,51819/2489,48384/2227,183825/8122,132600/5633,214569/8777,461664/18209,27521/1048,530280/19519,40455/1441,1536/53
CONDITIONAL on EXACT-N	120	80	-35,118	3	24	3	24	24	3/8,18/23,765/644,696/437,735/368,1602/667,4389/1564,960/299,7317/2024,4530/1127,407/92,6552/1357,15405/2944,2982/529,20565/3404,11712/1817,8823/1288,14850/2047,33117/4324,2040/253,40509/4784,22242/2507,705/76,1152/119
CONDITIONAL on EXACT-N	120	80	-35,118	4	32	3	32	32	69/82,72/41,765/287,2784/779,735/164,6408/1189,4389/697,3840/533,7317/902,18120/2009,407/41,26208/2419,15405/1312,11928/943,20565/1517,46848/3239,8823/574,59400/3649,33117/1927,8160/451,40509/2132,88968/4469,16215/779,105984/4879,57525/2542,41496/1763,67149/2747,144480/5699,8613/328,165960/6109,88629/3157,1536/53
CONDITIONAL on EXACT-N	120	80	-25,118	3	24	3	24	24	63/172,100/129,711/602,1296/817,685/344,2988/1247,4095/1462,1792/559,621/172,8460/2107,3421/774,12240/2537,14391/2752,5572/989,19215/3182,21888/3397,8245/1204,27756/3827,30951/4042,1040/129,37863/4472,41580/4687,15157/1634,1152/119
CONDITIONAL on EXACT-N	120	80	-25,118	4	32	3	32	32	189/230,40/23,2133/805,7776/2185,411/92,17928/3335,2457/391,10752/1495,81/10,10152/1127,3421/345,14688/1357,43173/3680,33432/2645,11529/851,131328/9085,4947/322,166536/10235,92853/5405,416/23,113589/5980,49896/2507,1977/95,297216/13685,32265/1426,116376/4945,37665/1541,405216/15985,24157/920,93096/3427,22599/805,1536/53
CONDITIONAL on EXACT-N	120	80	-15,118	3	24	3	24	24	57/160,23/30,657/560,30/19,127/64,693/290,3801/1360,16/5,1269/352,393/98,3179/720,1422/295,13377/2560,259/46,3573/592,2544/395,7667/1120,6453/890,5757/752,266/33,2709/320,9669/1090,14099/1520,1152/119
CONDITIONAL on EXACT-N	120	80	-15,118	4	32	3	32	32	171/214,184/107,1971/749,7200/2033,1905/428,16632/3103,11403/1819,768/107,19035/2354,47160/5243,3179/321,68256/6313,40131/3424,31080/2461,53595/3959,122112/8453,23001/1498,154872/9523,86355/5029,21280/1177,8127/428,232056/11663,42297/2033,276480/12733,150075/6634,108264/4601,175203/7169,376992/14873,22475/856,433080/15943,231291/8239,1536/53
